"EDUC_MINHS","EDUC_HSONLY","EDUC_MINBA","EDUC_SOMECOLL","EDUC_MIN9TH","EDUC_MINHS_WHITE","EDUC_MINBA_WHITE","EDUC_MINHS_BLACK","EDUC_MINBA_BLACK","EDUC_MINHS_LATINO","EDUC_MINBA_LATINO","EDUC_MINHS_WHITENH","EDUC_MINBA_WHITENH","RACE_HISP","RACE_WHITENH","RACE_BLACKNH","RACE_ASIANNH","RACE_OTHERNH","RACE_MULTIPLENH","BIRTH_FOREIGN","GEOID10"
0.9673176564,0.0278995616,0.8668792348,0.0725388601,0.9896373057,0.9652351738,0.8578732106,0.9166666667,0.8333333333,0.8303571429,0.5714285714,0.9702917772,0.8657824934,0.0378205128,0.7426282051,0.0342948718,0.1253205128,0,0.0599358974,0.271474359,6001400100
0.9955271565,0.0587859425,0.8651757188,0.0715654952,0.9955271565,0.9943593876,0.9024979855,1,0.4615384615,1,0.8482142857,0.9939655172,0.900862069,0.086696562,0.7349277529,0.0259093174,0.0852017937,0.0019930244,0.0652715496,0.1210762332,6001400200
0.9442938132,0.0761646537,0.7202366281,0.1478925314,0.9645057925,0.9487010852,0.783623808,0.8840262582,0.1838074398,0.6872586873,0.6332046332,0.9671311183,0.7927831368,0.0694911899,0.6798653732,0.0908730944,0.1168085528,0.0237576717,0.019204118,0.1734310038,6001400300
0.9519044545,0.0480955455,0.7591994835,0.1446094254,0.9767591995,0.9861623616,0.8565498155,0.7566539924,0.1216730038,0.8,0.6166666667,0.990281827,0.8610301263,0.1210381832,0.637384577,0.0663838283,0.104816571,0.0087347143,0.0616421263,0.1472423259,6001400400
0.9770687936,0.1694915254,0.6799601196,0.1276171486,0.9923562645,0.992777413,0.819435325,0.9300911854,0.3860182371,1,0.5701754386,0.9922316384,0.8502824859,0.0945683802,0.4544131911,0.2138700291,0.1081474297,0.0067895247,0.1222114452,0.2289039767,6001400500
0.9716981132,0.0581761006,0.7146226415,0.1988993711,0.9787735849,0.9784075574,0.7867746289,0.9276595745,0.4936170213,0.8415841584,0.6138613861,1,0.7991071429,0.0750716332,0.4928366762,0.2051575931,0.0968481375,0.029226361,0.1008595989,0.0836676218,6001400600
0.9367426079,0.085070286,0.5693165293,0.2823557925,0.9524963645,0.9819078947,0.7763157895,0.9633943428,0.2271214642,0.7291021672,0.3684210526,0.9816350711,0.7997630332,0.1938377535,0.382800312,0.2823712949,0.0641575663,0,0.0768330733,0.1524960998,6001400700
0.9446377729,0.1774754824,0.5336918697,0.2334704208,0.9784878203,0.9545454545,0.7098930481,0.9544846051,0.1900937082,0.8709677419,0.1541218638,0.9532324622,0.7303988996,0.1061685918,0.4354878348,0.2327353158,0.1518800688,0.001966085,0.0717621037,0.1968542639,6001400800
0.9111716621,0.1449591281,0.4626702997,0.3035422343,0.9400544959,0.9352441614,0.6709129512,0.9434306569,0.1697080292,0.6038647343,0.2657004831,0.9880668258,0.700477327,0.1582355322,0.4164305949,0.287737758,0.04087414,0.0348037232,0.0619182517,0.1622824767,6001400900
0.8380724984,0.1825482961,0.4230518776,0.2324723247,0.9285869329,0.9448938322,0.6137512639,0.8655240606,0.1760052736,0.7020689655,0.1834482759,0.9746760895,0.6861012956,0.1871840861,0.3344203489,0.3036034567,0.067177564,0.0195662808,0.0880482635,0.1195173651,6001401000
